Data,rede-social,seguidores
01/08/2025,IG,56843
01/08/2025,LinkedIn,945196
01/08/2025,TikTok,2710
01/08/2025,Twitter,484280
01/09/2025,IG,68420
01/09/2025,LinkedIn,961401
01/09/2025,TikTok,2911
01/09/2025,Twitter,484560
01/10/2025,IG,82769
01/10/2025,LinkedIn,986930
01/10/2025,TikTok,3161
01/10/2025,Twitter,484050
01/10/2025,Threads,3145
01/11/2025,IG,93404
01/11/2025,LinkedIn,1014409
01/11/2025,TikTok,4965
01/11/2025,Twitter,477887
01/11/2025,Threads,9699
01/12/2025,IG,115781
01/12/2025,LinkedIn,1036158
01/12/2025,TikTok,6900
01/12/2025,Twitter,477612
01/12/2025,Threads,10842
25/01/2026,Twitter,477999
25/01/2026,LinkedIn,1052939
25/01/2026,IG,114902
25/01/2026,TikTok,7040
25/01/2026,Threads,11338
01/02/2026,Twitter,479623
01/02/2026,LinkedIn,1071234
01/02/2026,IG,115304
01/02/2026,TikTok,7161
01/02/2026,Threads,13280
01/03/2026,Twitter,483623
02/03/2026,LinkedIn,1113177
03/03/2026,IG,121390
04/03/2026,TikTok,9873
05/03/2026,Threads,14283
February 22,X,480.030
February 22,LinkedIn,1.077.781
February 22,IG,115.700
February 22,TikTok,7.249
February 22,Threads,13.441
March 1,X,481.050
March 1,LinkedIn,1.085.074
March 1,IG,116.742
March 1,TikTok,7.305
March 1,Threads,13.658
March 8,X,481.191
March 8,LinkedIn,1.091.776
March 8,IG,118.529
March 8,TikTok,7.356
March 8,Threads,13.837
March 22,X,483.400
March 22,LinkedIn,1.105.751
March 22,IG,120.173
March 22,TikTok,8.789
March 22,Threads,14.143
March 29,X,483.623
March 29,LinkedIn,1.113.177
March 29,IG,121.390
March 29,TikTok,9.873
March 29,Threads,14.283
April 5,X,484.605
April 5,LinkedIn,1.119.626
April 5,IG,123.010
April 5,TikTok,9.934
April 5,Threads,14.527
April 12,X,491.200
April 12,LinkedIn,1.127.428
April 12,IG,124.481
April 12,TikTok,9.936
April 12,Threads,14.909
April 19,X,493.479
April 19,LinkedIn,1.136.702
April 19,IG,126.009
April 19,TikTok,9.948
April 19,Threads,15.184
April 26,X,495.121
April 26,LinkedIn,1.143.448
April 26,IG,126.980
April 26,TikTok,9.983
April 26,Threads,15.326