"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,Follows,"Link clicks","Sticker taps"
18097058095828289,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/20/2025 09:01",https://www.instagram.com/stories/microsoftlearn/3770159724336629998,"IG story",,Lifetime,1996,1725,22,0,1,0,1156,,,
17934985002100267,17841400849550874,microsoftlearn,"Microsoft Learn",,51,"11/20/2025 09:01",https://www.instagram.com/stories/microsoftlearn/3770159567309749443,"IG story",,Lifetime,2340,2006,36,0,16,4,1434,3,,
18170086186374615,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/20/2025 07:00",https://www.instagram.com/stories/microsoftlearn/3769764550854601584,"IG story",,Lifetime,313,261,5,0,4,0,283,,,
18118199230557303,17841400849550874,microsoftlearn,"Microsoft Learn",,36,"11/19/2025 18:37",https://www.instagram.com/stories/microsoftlearn/3769725061155273350,"IG story",,Lifetime,2041,1679,27,0,9,1,1156,1,,
18155806150408303,17841400849550874,microsoftlearn,"Microsoft Learn",,24,"11/19/2025 15:29",https://www.instagram.com/stories/microsoftlearn/3769630658747214585,"IG story",,Lifetime,1955,1659,31,0,5,2,1077,1,23,
17861878284535764,17841400849550874,microsoftlearn,"Microsoft Learn",,24,"11/19/2025 14:38",https://www.instagram.com/stories/microsoftlearn/3769604581207432709,"IG story",,Lifetime,1971,1691,34,1,3,1,1102,,,
17952417303029525,17841400849550874,microsoftlearn,"Microsoft Learn",,9,"11/19/2025 12:08",https://www.instagram.com/stories/microsoftlearn/3769529140258148387,"IG story",,Lifetime,2029,1737,25,0,5,0,1084,,,
18004480724820592,17841400849550874,microsoftlearn,"Microsoft Learn",,45,"11/19/2025 11:19",https://www.instagram.com/stories/microsoftlearn/3769504311740092603,"IG story",,Lifetime,2169,1830,30,0,2,1,1201,,,
18093151444910015,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/19/2025 07:38",https://www.instagram.com/stories/microsoftlearn/3769393180970931253,"IG story",,Lifetime,2391,1980,24,0,8,0,1365,1,,
17984073083869617,17841400849550874,microsoftlearn,"Microsoft Learn",,43,"11/18/2025 18:43",https://www.instagram.com/stories/microsoftlearn/3769003213929446194,"IG story",,Lifetime,2114,1789,28,0,4,0,1070,,9,
17898972147338229,17841400849550874,microsoftlearn,"Microsoft Learn",,15,"11/18/2025 17:40",https://www.instagram.com/stories/microsoftlearn/3768971393698957730,"IG story",,Lifetime,2291,1885,29,0,4,1,1155,,15,
18026010077758837,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/18/2025 17:18",https://www.instagram.com/stories/microsoftlearn/3768960443470162565,"IG story",,Lifetime,2428,1967,25,1,12,0,1235,,,
18093721585878132,17841400849550874,microsoftlearn,"Microsoft Learn",,60,"11/18/2025 14:45",https://www.instagram.com/stories/microsoftlearn/3768883486859117708,"IG story",,Lifetime,2529,2104,32,0,2,0,1334,,,
18066132008613284,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/18/2025 14:06",https://www.instagram.com/stories/microsoftlearn/3768863751803146112,"IG story",,Lifetime,385,305,6,0,,0,352,,,
17890305186380335,17841400849550874,microsoftlearn,"Microsoft Learn",,16,"11/18/2025 14:01",https://www.instagram.com/stories/microsoftlearn/3768861429182131229,"IG story",,Lifetime,2824,2363,40,0,11,1,1458,,,
18233047756307003,17841400849550874,microsoftlearn,"Microsoft Learn",,18,"11/18/2025 11:05",https://www.instagram.com/stories/microsoftlearn/3768772685460595002,"IG story",,Lifetime,3296,2623,62,0,11,2,1737,2,16,
17972758040951180,17841400849550874,microsoftlearn,"Microsoft Learn",,19,"11/17/2025 20:54",https://www.instagram.com/stories/microsoftlearn/3768344257800250641,"IG story",,Lifetime,4442,3314,66,2,17,1,2253,3,,
17871231984389675,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/17/2025 13:00",https://www.instagram.com/stories/microsoftlearn/3768105551420185032,"IG story",,Lifetime,2852,2258,28,1,20,0,2470,1,,
17893552797360435,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/16/2025 07:00",https://www.instagram.com/stories/microsoftlearn/3766839298030472236,"IG story",,Lifetime,2922,2405,22,2,23,1,1444,1,,
17947810749058434,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/15/2025 07:00",https://www.instagram.com/stories/microsoftlearn/3766175930575671007,"IG story",,Lifetime,2325,1882,17,0,11,1,1215,,,
18065290508131625,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/14/2025 14:43",https://www.instagram.com/stories/microsoftlearn/3765983121952019067,"IG story",,Lifetime,2402,1972,28,18,15,3,2132,1,,
18396752650123616,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/13/2025 11:23",https://www.instagram.com/stories/microsoftlearn/3765158077608918209,"IG story",,Lifetime,3083,2444,21,4,41,2,2669,,,
17890148529242349,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/10/2025 14:01",https://www.instagram.com/stories/microsoftlearn/3763063137651318676,"IG story",,Lifetime,1439,1166,13,17,7,0,1351,,,
17870770125386774,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/10/2025 14:01",https://www.instagram.com/stories/microsoftlearn/3763063108953841597,"IG story",,Lifetime,1511,1243,13,0,3,0,1429,1,,
18329342575209584,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/10/2025 14:01",https://www.instagram.com/stories/microsoftlearn/3763063057909156817,"IG story",,Lifetime,1605,1312,11,0,4,0,1487,,,
17877443376427670,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/10/2025 14:00",https://www.instagram.com/stories/microsoftlearn/3763062420660177466,"IG story",,Lifetime,1779,1460,12,0,3,0,1607,,,
17893720056355243,17841400849550874,microsoftlearn,"Microsoft Learn",,6,"11/10/2025 08:03",https://www.instagram.com/stories/microsoftlearn/3762882971834610756,"IG story",,Lifetime,2196,1782,26,2,26,0,1862,2,19,
17855565162559642,17841400849550874,microsoftlearn,"Microsoft Learn","Hear how women at
@anitab_org’s @gracehoppercelebration 
define it in their own powerful words",18,"11/07/2025 17:17",https://www.instagram.com/stories/microsoftlearn/3760987307227523161,"IG story",,Lifetime,2586,1972,27,21,3,0,1273,,,
18048501041670003,17841400849550874,microsoftlearn,"Microsoft Learn",,17,"11/07/2025 15:00",https://www.instagram.com/stories/microsoftlearn/3760849801291146133,"IG story",,Lifetime,1349,1185,20,16,3,0,1155,,,
18110966605585641,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/07/2025 12:05",https://www.instagram.com/stories/microsoftlearn/3760829927546384613,"IG story",,Lifetime,1312,1105,20,0,3,0,1223,,,
17960366834861251,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/07/2025 12:05",https://www.instagram.com/stories/microsoftlearn/3760829931925230912,"IG story",,Lifetime,1408,1169,22,0,5,0,1303,,,
18050079866380317,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/07/2025 12:05",https://www.instagram.com/stories/microsoftlearn/3760829927890349907,"IG story",,Lifetime,1526,1273,20,0,2,0,1392,,,
17921589858187604,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/07/2025 12:05",https://www.instagram.com/stories/microsoftlearn/3760829929089861279,"IG story",,Lifetime,1799,1522,23,0,5,0,1604,1,,
17928353589140234,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/06/2025 15:00",https://www.instagram.com/stories/microsoftlearn/3760193393269354390,"IG story",,Lifetime,1030,886,7,0,4,0,969,,,
18044339738680078,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/06/2025 15:00",https://www.instagram.com/stories/microsoftlearn/3760193394224756158,"IG story",,Lifetime,1032,914,8,0,,0,976,,,
18131037703429809,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/06/2025 15:00",https://www.instagram.com/stories/microsoftlearn/3760193388906688159,"IG story",,Lifetime,1062,937,8,0,1,0,1008,,,
17849140638592989,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/06/2025 15:00",https://www.instagram.com/stories/microsoftlearn/3760193389628066642,"IG story",,Lifetime,1096,974,8,0,,0,1034,,,
17856048075558152,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/06/2025 15:00",https://www.instagram.com/stories/microsoftlearn/3760193387606569995,"IG story",,Lifetime,1149,1023,10,0,1,0,1084,,,
17852181870576190,17841400849550874,microsoftlearn,"Microsoft Learn",,7,"11/06/2025 14:00",https://www.instagram.com/stories/microsoftlearn/3760033428344402522,"IG story",,Lifetime,1204,1074,11,0,2,0,982,,,
18098358889706617,17841400849550874,microsoftlearn,"Microsoft Learn",,11,"11/06/2025 12:14",https://www.instagram.com/stories/microsoftlearn/3760110207931387963,"IG story",,Lifetime,1285,1145,15,0,4,1,1189,,,
17861164803457425,17841400849550874,microsoftlearn,"Microsoft Learn","Come join us at the Devicebar",23,"11/06/2025 12:11",https://www.instagram.com/stories/microsoftlearn/3760108476824692979,"IG story",,Lifetime,1409,1242,15,0,1,0,1329,,,
18163023391351625,17841400849550874,microsoftlearn,"Microsoft Learn","Transformation in motion for day 2 
@gracehoppercelebration ✨",5,"11/06/2025 10:37",https://www.instagram.com/stories/microsoftlearn/3760061414728921124,"IG story",,Lifetime,2351,2002,18,0,8,0,1446,1,,7
18111829003583310,17841400849550874,microsoftlearn,"Microsoft Learn",,15,"11/05/2025 16:34",https://www.instagram.com/stories/microsoftlearn/3759516181641055891,"IG story",,Lifetime,1062,931,11,0,6,0,1003,,,
18536803360029891,17841400849550874,microsoftlearn,"Microsoft Learn",,7,"11/05/2025 16:30",https://www.instagram.com/stories/microsoftlearn/3759514110468612963,"IG story",,Lifetime,1589,1386,18,6,2,0,1451,1,,
18084454363991995,17841400849550874,microsoftlearn,"Microsoft Learn",,15,"11/05/2025 12:04",https://www.instagram.com/stories/microsoftlearn/3759380062584949456,"IG story",,Lifetime,1516,1246,12,1,2,0,1407,,,
18000452894838632,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/05/2025 11:11",https://www.instagram.com/stories/microsoftlearn/3759353461436361168,"IG story",,Lifetime,1802,1496,14,1,3,1,1576,,,
18054203546322138,17841400849550874,microsoftlearn,"Microsoft Learn","Swing by our booth and show us your learning style! 📍#TE2 in the Tech Expo #GHC25",0,"11/05/2025 10:55",https://www.instagram.com/stories/microsoftlearn/3759345572932335959,"IG story",,Lifetime,2139,1791,21,0,5,0,1813,3,,5
17842071636612804,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/04/2025 13:33",https://www.instagram.com/stories/microsoftlearn/3758700260664035375,"IG story",,Lifetime,1499,1256,20,0,7,0,1377,,,
18172682089368499,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/04/2025 13:33",https://www.instagram.com/stories/microsoftlearn/3758700278515170025,"IG story",,Lifetime,1555,1351,18,0,3,0,1448,,,
18022071107685511,17841400849550874,microsoftlearn,"Microsoft Learn","Which task do you use Copilot 
for most as a student?",0,"09/16/2025 17:36",https://www.instagram.com/stories/microsoftlearn/3723278479795186231,"IG story",,Lifetime,2457,1890,20,0,16,1,2145,,
18280775971263084,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"09/24/2025 08:32",https://www.instagram.com/stories/microsoftlearn/3728802860432739116,"IG story",,Lifetime,3161,2558,27,0,22,0,2712,1,
17863109940472071,17841400849550874,microsoftlearn,"Microsoft Learn","Students get M365 with Copilot at no cost.
 Land that dream role with AI-powered prep.",0,"09/24/2025 08:35",https://www.instagram.com/stories/microsoftlearn/3728804168040550494,"IG story",,Lifetime,2640,2096,24,3,7,0,2317,,
17918675253170805,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"09/24/2025 08:36",https://www.instagram.com/stories/microsoftlearn/3728804699215584669,"IG story",,Lifetime,2468,1833,25,8,12,1,2231,,113
17955665450878115,17841400849550874,microsoftlearn,"Microsoft Learn",,17,"10/24/2025 12:06",https://www.instagram.com/stories/microsoftlearn/3750653581277165287,"IG story",,Lifetime,3052,2396,35,2,32,1,1899,6,
18084762529810646,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"10/25/2025 14:00",https://www.instagram.com/stories/microsoftlearn/3751435858080842648,"IG story",,Lifetime,2751,2242,21,3,17,0,2420,1,
18360295648095338,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"10/25/2025 14:00",https://www.instagram.com/stories/microsoftlearn/3751435887323564706,"IG story",,Lifetime,2281,1783,17,0,8,0,2019,,
17897103294335741,17841400849550874,microsoftlearn,"Microsoft Learn",,5,"10/28/2025 10:16",https://www.instagram.com/stories/microsoftlearn/3753497266616454124,"IG story",,Lifetime,2047,1643,22,0,18,1,1792,1,
18130560601485289,17841400849550874,microsoftlearn,"Microsoft Learn","The moment you walk in, the creativity hits you. GitHub Universe Day 1 is officially live.",0,"10/28/2025 16:27",https://www.instagram.com/stories/microsoftlearn/3753684027363423711,"IG story",,Lifetime,1751,1460,28,0,4,1,1542,,
18055525475285125,17841400849550874,microsoftlearn,"Microsoft Learn","Live from the Microsoft booth - hands-on demos, real code, and great conversations about how AI is changing the way we build.",0,"10/28/2025 16:27",https://www.instagram.com/stories/microsoftlearn/3753684093625007009,"IG story",,Lifetime,1527,1312,19,0,,1,1402,,
17988267857730577,17841400849550874,microsoftlearn,"Microsoft Learn","Powered by caffeine + CICD Blast. Staying hydrated, developer edition.",0,"10/28/2025 16:27",https://www.instagram.com/stories/microsoftlearn/3753684136557903933,"IG story",,Lifetime,1411,1236,16,0,,0,1298,,
18349207444165724,17841400849550874,microsoftlearn,"Microsoft Learn","Documentation, but make it friendly. 🐥",0,"10/28/2025 16:28",https://www.instagram.com/stories/microsoftlearn/3753684721612963947,"IG story",,Lifetime,1313,1178,15,0,1,0,1222,,
17923302246155892,17841400849550874,microsoftlearn,"Microsoft Learn","Silent Disco Demo, where learning meets lo-fi energy.",0,"10/28/2025 16:29",https://www.instagram.com/stories/microsoftlearn/3753685248434332849,"IG story",,Lifetime,1245,1131,11,0,1,0,1168,,
18434855707096488,17841400849550874,microsoftlearn,"Microsoft Learn","The GitHub Universe entrance feels like stepping inside a level-up screen.",0,"10/28/2025 16:30",https://www.instagram.com/stories/microsoftlearn/3753685636499711888,"IG story",,Lifetime,1185,1091,14,0,1,0,1104,,
17991239957719981,17841400849550874,microsoftlearn,"Microsoft Learn","Stories from builders around the world. Always love seeing how developers turn ideas into impact.",0,"10/28/2025 16:31",https://www.instagram.com/stories/microsoftlearn/3753686417697230499,"IG story",,Lifetime,1169,1073,11,0,2,0,1094,,
18083640379994917,17841400849550874,microsoftlearn,"Microsoft Learn","The Octocat is watching over every line of code.",0,"10/28/2025 16:32",https://www.instagram.com/stories/microsoftlearn/3753686898498696779,"IG story",,Lifetime,1174,1035,11,0,7,2,1089,,
18405376699140456,17841400849550874,microsoftlearn,"Microsoft Learn","GitHub Universe ‘25
is actually a playground
for devs",0,"10/29/2025 18:33",https://www.instagram.com/stories/microsoftlearn/3754472226515704521,"IG story",,Lifetime,2491,2052,37,0,16,1,2145,3,
17927539773136397,17841400849550874,microsoftlearn,"Microsoft Learn","Open Source
energy only.",0,"10/29/2025 18:33",https://www.instagram.com/stories/microsoftlearn/3754472473946067165,"IG story",,Lifetime,1933,1645,22,0,2,0,1766,,
18081461960019848,17841400849550874,microsoftlearn,"Microsoft Learn","hacking badges &
making friends",0,"10/29/2025 18:34",https://www.instagram.com/stories/microsoftlearn/3754472802863396589,"IG story",,Lifetime,1752,1532,23,0,2,0,1593,,
18151674739411867,17841400849550874,microsoftlearn,"Microsoft Learn","wonder what this could be?",0,"10/29/2025 18:34",https://www.instagram.com/stories/microsoftlearn/3754472944991583348,"IG story",,Lifetime,1641,1437,17,0,,0,1508,,
18555487951016332,17841400849550874,microsoftlearn,"Microsoft Learn","engineers making their own LED!!",0,"10/29/2025 18:35",https://www.instagram.com/stories/microsoftlearn/3754473278673616064,"IG story",,Lifetime,1580,1397,20,0,1,0,1456,,
17887363629377784,17841400849550874,microsoftlearn,"Microsoft Learn","tasty treats for web devs (literally)",0,"10/29/2025 18:35",https://www.instagram.com/stories/microsoftlearn/3754473522589160492,"IG story",,Lifetime,1530,1354,20,0,1,1,1405,,
17996975390832457,17841400849550874,microsoftlearn,"Microsoft Learn","mission control looks unreal…

GitHub Universe ‘25",0,"10/29/2025 18:36",https://www.instagram.com/stories/microsoftlearn/3754473816677009216,"IG story",,Lifetime,1535,1284,22,15,5,1,1390,,
18085840477778073,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"10/31/2025 07:22",https://www.instagram.com/stories/microsoftlearn/3755584204512799652,"IG story",,Lifetime,2557,2165,14,0,12,1,2229,,
17843499540607992,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"10/31/2025 07:22",https://www.instagram.com/stories/microsoftlearn/3755584240457961949,"IG story",,Lifetime,2090,1698,13,0,19,0,1905,,
17852381316573666,17841400849550874,microsoftlearn,"Microsoft Learn",,7,"11/04/2025 06:29",https://www.instagram.com/stories/microsoftlearn/3758486933891528090,"IG story",,Lifetime,2440,2022,33,1,26,0,2102,1,
18066302261431769,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"11/04/2025 13:33",https://www.instagram.com/stories/microsoftlearn/3758700260521576074,"IG story",,Lifetime,1893,1599,20,0,7,0,1714,1,
18078606412964854,17841400849550874,microsoftlearn,"Microsoft Learn",,0,"09/16/2025 12:35",https://www.instagram.com/stories/microsoftlearn/3723126863029249476,"IG story",,Lifetime,3655,2350,36,19,33,3,2873,3,
